TIME,lat,lon,alt,eph,epv,vel,vn,ve,vd,cog,satellites_visible,id,yaw
1702378468750411,476414678,-1221401653,130528,10,10,3,2,0,0,523,15,0,0
1702378468771411,476414678,-1221401653,130528,10,10,3,2,0,0,607,15,0,0
1702378468792412,476414678,-1221401653,130528,10,10,3,2,0,0,695,15,0,0
1702378468813412,476414678,-1221401653,130528,10,10,3,2,0,0,785,15,0,0
1702378468834413,476414678,-1221401653,130528,10,10,3,2,0,0,877,15,0,0
1702378468855413,476414678,-1221401653,130528,10,10,3,2,0,0,973,15,0,0
1702378468876414,476414678,-1221401653,130528,10,10,3,2,0,0,1073,15,0,0
1702378468897414,476414678,-1221401653,130528,10,10,3,2,0,0,1175,15,0,0
1702378468918415,476414678,-1221401653,130528,10,10,3,2,0,0,1277,15,0,0
1702378468939415,476414679,-1221401653,130528,10,10,2,2,0,0,1379,15,0,0
1702378468960416,476414679,-1221401653,130528,10,10,2,2,0,0,1479,15,0,0
1702378468981416,476414679,-1221401653,130528,10,10,2,2,0,0,1579,15,0,0
1702378469002416,476414679,-1221401653,130528,10,10,2,2,0,0,1676,15,0,0
1702378469023417,476414679,-1221401653,130528,10,10,2,2,0,0,1769,15,0,0
1702378469044417,476414679,-1221401653,130528,10,10,2,2,0,0,1859,15,0,0
1702378469065418,476414679,-1221401653,130527,10,10,2,2,0,0,1945,15,0,0
1702378469086418,476414679,-1221401653,130527,10,10,2,2,1,0,2030,15,0,0
1702378469107419,476414679,-1221401653,130527,10,10,2,2,1,0,2111,15,0,0
1702378469128419,476414679,-1221401653,130527,10,10,2,2,1,0,2189,15,0,0
1702378469149420,476414679,-1221401653,130527,10,10,2,2,1,0,2266,15,0,0
1702378469170420,476414679,-1221401653,130527,10,10,2,2,1,0,2343,15,0,0
1702378469191420,476414679,-1221401653,130527,10,10,2,2,1,0,2420,15,0,0
1702378469212421,476414679,-1221401653,130527,10,10,2,2,1,0,2497,15,0,0
1702378469233421,476414679,-1221401653,130527,10,10,2,2,1,0,2574,15,0,0
1702378469254422,476414679,-1221401653,130527,10,10,2,2,1,0,2651,15,0,0
1702378469275422,476414679,-1221401653,130526,10,10,2,2,1,0,2728,15,0,0
1702378469296423,476414679,-1221401653,130526,10,10,2,2,1,0,2806,15,0,0
1702378469317423,476414679,-1221401653,130526,10,10,2,2,1,0,2885,15,0,0
1702378469338424,476414679,-1221401653,130526,10,10,2,2,1,0,2966,15,0,0
1702378469359424,476414680,-1221401653,130526,10,10,2,2,1,0,3049,15,0,0
1702378469380424,476414680,-1221401653,130526,10,10,2,2,1,0,3136,15,0,0
1702378469401425,476414680,-1221401652,130526,10,10,2,2,1,0,3228,15,0,0
1702378469422425,476414680,-1221401652,130526,10,10,2,2,1,0,3325,15,0,0
1702378469443426,476414680,-1221401652,130525,10,10,2,2,1,0,3426,15,0,0
1702378469464426,476414680,-1221401652,130525,10,10,2,2,1,0,3532,15,0,0
1702378469485427,476414680,-1221401652,130525,10,10,2,2,1,0,3644,15,0,0
1702378469506427,476414680,-1221401652,130525,10,10,2,2,1,0,3761,15,0,0
1702378469527428,476414680,-1221401652,130525,10,10,2,2,1,0,3883,15,0,0
1702378469548428,476414680,-1221401652,130525,10,10,2,1,1,0,4009,15,0,0
1702378469569428,476414680,-1221401652,130525,10,10,2,1,1,0,4138,15,0,0
1702378469590429,476414680,-1221401652,130524,10,10,2,1,1,0,4268,15,0,0
1702378469611429,476414680,-1221401652,130524,10,10,2,1,1,0,4399,15,0,0
1702378469632430,476414680,-1221401652,130524,10,10,2,1,1,0,4531,15,0,0
1702378469653430,476414680,-1221401652,130524,10,10,2,1,1,0,4663,15,0,0
1702378469674431,476414680,-1221401652,130524,10,10,2,1,1,0,4796,15,0,0
1702378469695431,476414680,-1221401652,130524,10,10,2,1,1,0,4929,15,0,0
1702378469716432,476414680,-1221401652,130523,10,10,2,1,1,0,5065,15,0,0
1702378469737432,476414680,-1221401652,130523,10,10,2,1,1,0,5203,15,0,0
1702378469758433,476414680,-1221401652,130523,10,10,2,1,1,0,5344,15,0,0
1702378469779433,476414680,-1221401652,130523,10,10,2,1,1,0,5490,15,0,0
1702378469800433,476414680,-1221401652,130523,10,10,2,1,1,0,5641,15,0,0
1702378469821434,476414680,-1221401652,130522,10,10,2,1,1,0,5796,15,0,0
1702378469842434,476414680,-1221401651,130522,10,10,2,1,1,0,5959,15,0,0
1702378469863435,476414680,-1221401651,130522,10,10,2,1,1,0,6128,15,0,0
1702378469884435,476414680,-1221401651,130522,10,10,2,0,1,0,6305,15,0,0
1702378469905436,476414680,-1221401651,130522,10,10,2,0,1,0,6488,15,0,0
1702378469926436,476414680,-1221401651,130521,10,10,2,0,1,0,6676,15,0,0
1702378469947437,476414680,-1221401651,130521,10,10,2,0,1,0,6867,15,0,0
1702378469968437,476414680,-1221401651,130521,10,10,2,0,1,0,7062,15,0,0
1702378469989437,476414680,-1221401651,130521,10,10,2,0,1,0,7260,15,0,0
1702378470010438,476414680,-1221401651,130521,10,10,2,0,1,0,7458,15,0,0
1702378470031438,476414680,-1221401651,130520,10,10,2,0,2,0,7654,15,0,0
1702378470052439,476414680,-1221401651,130520,10,10,2,0,2,0,7849,15,0,0
1702378470073439,476414680,-1221401651,130520,10,10,2,0,2,0,8040,15,0,0
1702378470094440,476414680,-1221401651,130520,10,10,2,0,2,0,8226,15,0,0
1702378470115440,476414680,-1221401651,130520,10,10,2,0,2,0,8410,15,0,0
1702378470136441,476414680,-1221401651,130520,10,10,2,0,2,0,8590,15,0,0
1702378470157441,476414680,-1221401651,130519,10,10,2,0,2,0,8765,15,0,0
1702378470178441,476414680,-1221401651,130519,10,10,2,0,2,0,8938,15,0,0
1702378470199442,476414680,-1221401651,130519,10,10,2,0,2,0,9111,15,0,0
1702378470220442,476414680,-1221401650,130519,10,10,2,0,2,0,9281,15,0,0
1702378470241443,476414680,-1221401650,130519,10,10,2,0,2,0,9446,15,0,0
1702378470262443,476414680,-1221401650,130518,10,10,2,0,2,0,9609,15,0,0
1702378470283444,476414680,-1221401650,130518,10,10,2,0,2,0,9769,15,0,0
1702378470304444,476414680,-1221401650,130518,10,10,2,0,2,0,9924,15,0,0
1702378470325445,476414680,-1221401650,130518,10,10,2,0,2,0,10074,15,0,0
1702378470346445,476414680,-1221401650,130518,10,10,2,0,2,0,10222,15,0,0
1702378470367446,476414680,-1221401650,130517,10,10,2,0,2,0,10365,15,0,0
1702378470388446,476414680,-1221401650,130517,10,10,2,0,2,0,10504,15,0,0
1702378470409446,476414680,-1221401650,130517,10,10,2,0,2,0,10641,15,0,0
1702378470430447,476414680,-1221401650,130517,10,10,2,0,2,0,10774,15,0,0
1702378470451447,476414680,-1221401650,130517,10,10,2,0,2,0,10903,15,0,0
1702378470472448,476414680,-1221401650,130516,10,10,2,0,2,0,11029,15,0,0
1702378470493448,476414680,-1221401650,130516,10,10,2,0,2,0,11151,15,0,0
1702378470514449,476414680,-1221401650,130516,10,10,2,0,2,1,11270,15,0,0
1702378470535449,476414680,-1221401650,130516,10,10,2,0,2,0,11389,15,0,0
